year,dst_start,dst_end
2010,3/14/2010 2:00,11/7/2010 2:00
2011,3/13/2011 2:00,11/6/2011 2:00
2012,3/11/2012 2:00,11/4/2012 2:00
2013,3/10/2013 2:00,11/3/2013 2:00
2014,3/9/2014 2:00,11/2/2014 2:00
2015,3/8/2015 2:00,11/1/2015 2:00
2016,3/13/2016 2:00,11/6/2016 2:00
2017,3/12/2017 2:00,11/5/2017 2:00
2018,3/11/2018 2:00,11/4/2018 2:00
2019,3/10/2019 2:00,11/3/2019 2:00
2020,3/8/2020 2:00,11/1/2020 2:00
2021,3/14/2021 2:00,11/7/2021 2:00
2022,3/13/2022 2:00,11/6/2022 2:00
2023,3/12/2023 2:00,11/5/2023 2:00
2024,3/10/2024 2:00,11/3/2024 2:00
2025,3/9/2025 2:00,11/2/2025 2:00
2026,3/8/2026 2:00,11/1/2026 2:00
2027,3/14/2027 2:00,11/7/2027 2:00
2028,3/12/2028 2:00,11/5/2028 2:00
2029,3/11/2029 2:00,11/4/2029 2:00
