"","start","end","lot"
"1",2010-11-27,2010-11-30,1
"2",2010-12-31,2011-02-22,1
"3",2011-03-29,2011-03-30,1
"4",2011-07-15,2011-07-29,1
"5",2011-08-26,2011-08-27,1
"6",2011-11-09,2011-11-18,1
"7",2012-05-17,2012-05-31,1
"8",2012-06-12,2012-06-27,1
"9",2012-07-25,2012-07-25,1
"10",2012-12-31,2013-01-04,1
"11",2012-12-31,2013-01-04,1
"12",2013-01-18,2013-02-05,1
"13",2013-03-26,2013-03-28,1
"14",2013-07-10,2013-07-12,1
"15",2013-07-25,2013-07-26,1
"16",2013-12-29,2014-01-04,1
"17",2014-03-29,2014-04-04,1
"18",2014-05-18,2014-05-23,1
"19",2014-06-09,2014-06-13,1
"20",2014-07-10,2014-07-19,1
"21",2014-08-02,2014-08-08,1
"22",2014-08-24,2014-11-29,1
"23",2015-02-17,2015-02-18,1
"24",2015-03-31,2015-04-01,1
"25",2015-05-07,2015-05-18,1
"26",2015-09-15,2015-09-29,1
"27",2016-03-27,2016-04-03,1
"28",2016-04-11,2016-06-12,1
"29",2016-07-06,2016-07-11,1
"30",2016-07-19,2016-07-20,1
"31",2016-10-17,2016-10-23,1
"32",2017-01-05,2017-01-15,1
"33",2017-01-08,2017-01-05,1
"34",2017-02-07,2017-02-08,1
"35",2017-03-23,2017-03-23,1
"36",2017-06-30,2017-06-30,1
"37",2017-07-21,2017-07-28,1
"38",2017-08-01,2017-08-04,1
"39",2018-04-04,2018-04-05,1
"40",2018-06-17,2018-06-22,1
"41",2018-12-07,2018-12-12,1
"42",2019-06-02,2019-06-10,1
"43",2019-06-14,2019-06-17,1
"44",2019-07-01,2019-07-08,1
"45",2019-07-15,2019-07-17,1
"46",2020-06-27,2020-07-17,1
"47",2020-07-29,2020-08-14,1
"48",2020-08-29,2020-08-29,1
"49",2020-10-13,2020-10-14,1
"50",2011-01-21,2011-02-22,2
"51",2011-05-04,2011-05-18,2
"52",2011-06-03,2011-06-04,2
"53",2012-02-02,2012-02-16,2
"54",2012-12-31,2013-01-04,2
"55",2013-12-29,2014-01-04,2
"56",2014-05-23,2014-06-13,2
"57",2014-06-20,2014-06-27,2
"58",2014-07-03,2014-07-19,2
"59",2014-12-26,2015-01-03,2
"60",2015-08-11,2015-08-12,2
"61",2016-07-20,2016-07-21,2
"62",2017-02-02,2017-02-12,2
"63",2017-06-11,2017-06-16,2
"64",2018-07-06,2018-07-13,2
"65",2019-06-21,2019-06-24,2
"66",2020-09-06,2020-09-12,2
