dow,type,lot,med_n,mean_n,n,var,,,,
Monday,Weekedge,Lot 1,681.9975,755.8273206,418,369.5439764,,,,
Monday,Weekedge,Lot 2,111.125,159.5720021,472,151.5991859,,,Row Labels,Average of mean_n
Tuesday,Midweek,Lot 1,550.035,643.9788434,415,340.6899702,,,Midweek,385.1343966
Tuesday,Midweek,Lot 2,86.995,117.9529281,473,103.7734311,,,Lot 1,651.666929
Wednesday,Midweek,Lot 1,577.575,645.4980657,411,346.3676709,,,Lot 2,118.6018642
Wednesday,Midweek,Lot 2,86.995,118.4726645,471,103.2023892,,,Weekedge,469.4938337
Thursday,Midweek,Lot 1,591.345,665.523878,410,332.1851469,,,Lot 1,781.5964728
Thursday,Midweek,Lot 2,87.63,119.38,472,104.0385482,,,Lot 2,157.3911946
Friday,Weekedge,Lot 1,756.2025,807.365625,408,374.8439893,,,Weekend,807.8963924
Friday,Weekedge,Lot 2,116.84,155.2103871,465,127.5936707,,,Lot 1,1245.836196
Saturday,Weekend,Lot 1,1235.0925,1251.057321,420,349.4561232,,,Lot 2,369.9565885
Saturday,Weekend,Lot 2,337.185,361.6765032,469,187.0210448,,,Grand Total,530.0262346
Sunday,Weekend,Lot 1,1247.3325,1240.615071,420,343.9554714,,,,
Sunday,Weekend,Lot 2,354.33,378.2366737,472,196.4244183,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,1.912442396
